phrase,prompt
Feels my body like it in ' s a refrigerator.,Feeling cold
My feels body it like s ' a in refrigerator.,Feeling cold
I can ' walk well t have I an ache my in foot,Foot ache
I can ' t walk well have I my an ache in foot,Foot ache
I can ' walk t I well an have in ache my foot,Foot ache
I can ' t walk well I an have in ache my foot,Foot ache
Have I the impression having of no strength body in my,Body feels weak
I have the impression of having no strength in my body,Body feels weak
Have I the impression of having no strength my in body,Body feels weak
I have the having impression of no strength my body in,Body feels weak
It like feels heart my going is leap out to of my. body It hurts.,Heart hurts
It like feels my heart is to going leap out of body my. hurts It.,Heart hurts
Feels it like my heart going is to leap of out body my. It hurts.,Heart hurts
It feels like my heart is to going leap of out my. body hurts It.,Heart hurts
' what the s symptoms appendicitis of?,Internal pain
' what the s symptoms appendicitis of?,Internal pain
What s ' of the symptoms appendicitis?,Internal pain
What ' the symptoms s of? appendicitis,Internal pain
After eating I have burning sensation inside me of.,Stomach ache
After eating burning I have sensation of inside me.,Stomach ache
After eating have burning I inside sensation of me.,Stomach ache
After eating I have sensation burning inside of me.,Stomach ache
I get cannot warm matter no how much I wrap how up or I high put heating the on,Feeling cold
Cannot get warm I no matter I how much wrap up or high how I put the heating on,Feeling cold
I cannot get warm no how much matter I wrap or up how I high put the heating on,Feeling cold
Cannot I get warm no matter how I much wrap or up how high I the put heating on,Feeling cold
"After playing tennis, I had a powerful close sensation neck my to",Shoulder pain
"Playing after tennis, I had powerful sensation a to close my neck",Shoulder pain
"Playing after, tennis had I powerful a sensation close to my neck",Shoulder pain
"After playing tennis I, had a powerful sensation close to neck my",Shoulder pain
Have I ear an ache showering when,Ear ache
I an have when ear ache showering,Ear ache
I have an ear when ache showering,Ear ache
I ear have an when ache showering,Ear ache
Have I terrible pain in my heart,Heart hurts
I have terrible pain in heart my,Heart hurts
I terrible have pain heart in my,Heart hurts
Have I terrible pain in my heart,Heart hurts
The warming system house of my broken is feel and so cold,Feeling cold
System the warming my of house is broken and feel cold so,Feeling cold
The warming system of my house is and broken feel cold so,Feeling cold
Warming the system house of my broken is and feel so cold,Feeling cold
Hair my is out falling after I shower take a.,Hair falling out
My hair is falling out I after take shower a.,Hair falling out
My falling hair is out I after take a. shower,Hair falling out
Hair my is out falling I after take shower a.,Hair falling out
"I fell through a window I while was it cleaning and I have of a shard stuck glass my in eye left, I think is it serious pretty please, help!",Open wound
"Fell I through a window I while was it cleaning and have I shard a of glass in stuck my left eye, I think it is pretty serious, please help!",Open wound
"Fell through I window while a I was cleaning it and I have a shard of glass stuck in left eye my I, it think is pretty, serious help please!",Open wound
"I through fell a while window was I cleaning it and I a have glass shard of in stuck my left eye, I think it is pretty serious please, help!",Open wound
I feel pain in my throat,Cough
I feel pain my throat in,Cough
I pain feel my in throat,Cough
I feel pain throat in my,Cough
"Can I ' stand up t, feel I my brain is moving my skull inside.",Head ache
"Can I ' t stand up I, feel my brain moving inside is skull. my",Head ache
"Can I ' stand up t, feel I brain my is moving inside my. skull",Head ache
"Can I ' stand t up, I feel my brain inside is moving my skull.",Head ache
Have I on pimples my. back,Acne
Have I on my pimples back.,Acne
I pimples have on my back.,Acne
I have on pimples. my back,Acne
I ' got ve hard a breath time - to am having I a heart attack?,Hard to breath
I ' ve got a time hard to breath - I am having heart attack a?,Hard to breath
I ' ve a got hard time to am breath - I having a attack heart?,Hard to breath
I ' got ve hard a time to breath - I am a having heart attack?,Hard to breath
Can I ' work t I good a have pain in my knee,Knee pain
I can ' t good I work a have pain my in knee,Knee pain
I can ' t work I good have a pain in knee my,Knee pain
I can ' work t good I have a in pain my knee,Knee pain
Every it time I rains get on hives my and belly sides.,Skin issue
Every it time rains get hives I my on belly and sides.,Skin issue
Time every it rains get I hives on my belly and sides.,Skin issue
Every time it rains get I hives on my belly sides and.,Skin issue
My yellow cut or greenish - colored pus,Infected wound
Cut my yellow greenish or colored - pus,Infected wound
Yellow my cut or greenish - pus colored,Infected wound
Cut my yellow greenish or - pus colored,Infected wound
"i whooping cough have excess with mucous, need. mucolytic",Cough
"have I whooping cough excess with, mucous need. mucolytic",Cough
"have I whooping cough with excess mucous, mucolytic need.",Cough
"i whooping cough have excess mucous with, need mucolytic.",Cough
"I think there ' something s wrong with my wound, it does seem not like to it heal should.",Infected wound
"There I think ' something s with wrong wound my, it not does to seem heal like it should.",Infected wound
"Think I s there ' something wrong my with wound, it does not to seem heal like should. it",Infected wound
"Think I s there ' wrong with something my wound, it does not seem heal to like it. should",Infected wound
Was kicked I the head in playing soccer last night.,Injury from sports
I was kicked the in playing head soccer last night.,Injury from sports
Kicked I was the head in playing soccer last night.,Injury from sports
Kicked I was the in playing head soccer last night.,Injury from sports
Walk when I I get a pain stabbing the in top of foot my,Foot ache
Walk when I I get a stabbing pain the in top of my foot,Foot ache
When walk I I a get pain stabbing in the top of my foot,Foot ache
When I walk I get a stabbing pain in the top of foot my,Foot ache
I have wound a between my toes that gets better and overnight then reopens ever when day wear I dress shoes to work.,Open wound
I a have wound between my toes that better overnight gets and then reopens ever day I when wear dress shoes to work.,Open wound
I have a wound between my that toes gets better and then overnight reopens ever day wear when I dress to shoes work.,Open wound
I have a wound toes between that my gets overnight and better then reopens day ever when wear I shoes dress to work.,Open wound
I in feel pain my back,Back pain
Feel I pain in back my,Back pain
I feel pain in my back,Back pain
I feel in pain back my,Back pain
"First at feels it really, numb but a then needles thousand start to prick through foot my.",Foot ache
"At first it feels numb really, a then but thousand needles to start prick through foot my.",Foot ache
"First at feels it really numb, then but thousand a needles start to through prick my. foot",Foot ache
"First at it feels numb really, then but a thousand start to needles through prick my foot.",Foot ache
"my cbc report indicate 10 hb, feel of i little work tired.",Body feels weak
"Cbc my indicate report hb 10, feel i tired little of work.",Body feels weak
"cbc my indicate report 10, hb feel i tired of work little.",Body feels weak
"My cbc report indicate 10 hb, i tired feel little work of.",Body feels weak
When stand I up too I quickly feel as though I ' going to m faint.,Feeling dizzy
I stand when too up quickly feel I as though I ' going m faint to.,Feeling dizzy
When I stand up too I quickly feel as though I ' m. going to faint,Feeling dizzy
When stand I up quickly too I feel as though m I ' going to faint.,Feeling dizzy
I must see a doctor i an open wound have,Open wound
I must a see doctor have i an wound open,Open wound
I must see a i doctor an have wound open,Open wound
I see must a i have doctor an open wound,Open wound
The pain in back my dwwls like a sharp knife it in,Back pain
Pain the in back my dwwls like sharp a knife it in,Back pain
Pain the my in back like dwwls a sharp in knife it,Back pain
The pain my in back dwwls like a sharp in knife it,Back pain
Can move I hardly my neck. It hurts.,Neck pain
Can I hardly my move neck. hurts It.,Neck pain
Can hardly I move neck my. It hurts.,Neck pain
I hardly can move neck my. hurts It.,Neck pain
I a feel bone - on - pain bone my in when knees I stairs. climb,Joint pain
Feel I a - bone - bone pain on in my knees when I stairs climb.,Joint pain
Feel I a bone - on bone pain - in knees my I when stairs climb.,Joint pain
I feel a bone - - on bone in pain when knees my I stairs climb.,Joint pain
I when walk it ' hard s breath to.,Hard to breath
I when it walk ' hard s to breath.,Hard to breath
When I it walk ' hard s breath to.,Hard to breath
I when it walk ' s to hard breath.,Hard to breath
Have I a dull ache in my lower which back difficult makes to it move,Back pain
Have I dull a ache in lower my back makes which it difficult move to,Back pain
Have a I ache dull in my lower back which makes it move difficult to,Back pain
I have dull a in ache lower my back which makes it move difficult to,Back pain
i a have great pain in foot my thrombing like with pain my relaxing pain releif,Foot ache
i great have a pain in foot my thrombing like pain with relaxing my releif pain,Foot ache
Have I a great pain in my foot like thrombing pain with relaxing pain releif my,Foot ache
i have a great pain in my foot like pain with thrombing relaxing my releif pain,Foot ache
"Started as it tinnitus a, but today the is pain throbbing unbearable and.",Ear ache
"Started it as tinnitus a, the but today pain throbbing is and unbearable.",Ear ache
"It as started a tinnitus but, today the pain is unbearable and throbbing.",Ear ache
"Started as a it tinnitus, but today the is pain and throbbing unbearable.",Ear ache
Feeling of the coughing increases in winter ' reach s,Cough
The of feeling increases coughing winter in ' s reach,Cough
The of feeling coughing increases in ' winter reach s,Cough
The feeling of increases coughing in ' winter reach s,Cough
All of sudden I a felt dizzy when I stood up.,Feeling dizzy
Of all sudden a I dizzy felt when I up stood.,Feeling dizzy
A all of sudden I dizzy when felt I stood up.,Feeling dizzy
Of all sudden I a felt when dizzy I stood up.,Feeling dizzy
My got son a several tattoo ago weeks and skin the around it raised is and and it hot looks infected.,Infected wound
Son got my a tattoo weeks several ago and the skin around it raised is and and looks hot it infected.,Infected wound
Son my got tattoo a weeks several ago the and around skin it is raised and hot looks and it infected.,Infected wound
Son my got a weeks tattoo several and ago the skin around it is and raised hot and it looks infected.,Infected wound
My wound infected caused fever a,Infected wound
Infected my wound a caused fever,Infected wound
Infected wound my caused a fever,Infected wound
My infected wound caused a fever,Infected wound
Walk I but every day I now get short breath of after going a only short way.,Hard to breath
Walk I every day but now I get of short breath after going only a short way.,Hard to breath
I day every walk but now I get short breath of after going only short a. way,Hard to breath
I walk every day but now I get of short after breath going only short way a.,Hard to breath
Like there feels a swollen at knot my shoulderblade pain with shooting that from,Shoulder pain
Feels there a swollen like at knot my shoulderblade with shooting pain from that,Shoulder pain
Feels there like a swollen at knot my pain shoulderblade with shooting that from,Shoulder pain
There like feels a swollen knot at my shoulderblade with that shooting pain from,Shoulder pain
Is there sharp a pain my in bicep,Muscle pain
There a sharp is pain in bicep my,Muscle pain
There a is pain sharp my in bicep,Muscle pain
There a is pain in sharp my bicep,Muscle pain
I bear cannot this squeezing sensation have I chest in my.,Heart hurts
Bear I cannot this squeezing sensation I have my in. chest,Heart hurts
Cannot I bear squeezing this sensation have I in my. chest,Heart hurts
I bear cannot squeezing this sensation have in I my chest.,Heart hurts
I feel pain back when I carry heavy things,Back pain
I feel back pain when carry things I heavy,Back pain
Feel I back pain when I things carry heavy,Back pain
I feel back when pain I carry heavy things,Back pain
The joints in my are fingers painful the in morning.,Joint pain
Joints the in fingers my painful are in morning the.,Joint pain
Joints the fingers in my painful are in the morning.,Joint pain
Joints the in my are fingers the painful in morning.,Joint pain
Sometimes my body week feels without reason,Body feels weak
Sometimes my feels body week without reason,Body feels weak
Sometimes my body feels week reason without,Body feels weak
Sometimes my without body feels week reason,Body feels weak
"The if even temperature high is in the house, my body is cold always",Feeling cold
"Even if the is temperature high the in, house my body is always cold",Feeling cold
"Even if the temperature high is the in house, body my is always cold",Feeling cold
"Even if temperature the high is in house the, my body is always cold",Feeling cold
I myself cut ' and I m bleeding.,Open wound
I and cut myself I ' bleeding m.,Open wound
I myself cut and I ' m bleeding.,Open wound
I myself cut and I bleeding ' m.,Open wound
Face my is all broken with out. pimples,Acne
My is face all out broken pimples with.,Acne
My face broken is all out pimples with.,Acne
My is face broken out all with pimples.,Acne
"I when up get, i dizzy feel fall and down.",Feeling dizzy
"when get i, up i dizzy feel and down fall.",Feeling dizzy
"I when up get, i dizzy and feel fall down.",Feeling dizzy
"when get i, up feel i dizzy fall and down.",Feeling dizzy
"I feel pain in my muscles after legs I ran yesterday, took I some pain killers it but ' doesn help t.",Muscle pain
"Pain I feel in legs my after muscles ran yesterday I, I took some pain killers but it doesn t '. help",Muscle pain
"Pain I feel in my legs after muscles ran I yesterday, I took some pain killers but it doesn ' t help.",Muscle pain
"Feel I pain in my muscles legs after I yesterday ran, I took pain some it killers but ' doesn help t.",Muscle pain
My ache knees on cold rainy and. days,Knee pain
Knees on my ache cold and rainy days.,Knee pain
My ache knees cold on rainy and days.,Knee pain
Knees my on ache and cold rainy days.,Knee pain
I feel congestion in my chest,Cough
I feel congestion in my chest,Cough
I feel in my congestion chest,Cough
Feel I congestion my in chest,Cough
I think body my temperature is very low.,Feeling cold
Think I body temperature my is very low.,Feeling cold
I think my temperature very body is low.,Feeling cold
I body think my temperature is very. low,Feeling cold
"My aches stomach any after I drink soda drink, why?",Stomach ache
"My stomach aches after drink any I drink soda, ? why",Stomach ache
"My aches stomach after I drink any soda drink, ? why",Stomach ache
"Aches my stomach after I drink any drink soda why,?",Stomach ache
I have a blurry vision after my was head yesterday hit.,Blurry vision
Have I a vision blurry my head after was hit yesterday.,Blurry vision
Have I blurry vision a after my was head hit yesterday.,Blurry vision
I have a blurry vision after head my was yesterday hit.,Blurry vision
I had a sharp pain in stomach my,Stomach ache
Had I a sharp in pain stomach my,Stomach ache
I had sharp a in pain stomach my,Stomach ache
I had sharp a pain in my stomach,Stomach ache
My knee weak feels it and gave way the day other the at top the of. stairs Luckily there was a to rail hold on to.,Knee pain
My feels knee weak and gave it way the other day at the top of the stairs. Luckily there was rail a to hold on to.,Knee pain
My knee and feels gave weak way it the day other at the top of the stairs Luckily. there was a hold rail to on to.,Knee pain
Knee my feels and gave weak it way the day other at the top of the stairs. there Luckily was rail a to hold on to.,Knee pain
There is a sensation tingling in my neck.,Neck pain
Is there a sensation tingling my in neck.,Neck pain
Is there a tingling in my sensation neck.,Neck pain
Is there tingling a sensation in neck my.,Neck pain
I feel great pain in head the,Head ache
I great feel pain in the head,Head ache
I feel great pain in head the,Head ache
Feel I great in pain head the,Head ache
Have I discomfort in general my torso.,Internal pain
I have discomfort general in my torso.,Internal pain
I general have discomfort torso in my.,Internal pain
Have I general discomfort my torso in.,Internal pain
I over toppled jumping to while catch the ball.,Injury from sports
Toppled I over jumping while to catch the. ball,Injury from sports
I toppled over while to jumping catch the ball.,Injury from sports
I toppled jumping over while catch to the ball.,Injury from sports
After an day hard working I have ache foot,Foot ache
After an hard working have day foot I ache,Foot ache
After an hard working day I have ache foot,Foot ache
After hard an working day foot I have ache,Foot ache
"I am so feeling dizzy, is body so fragile.",Body feels weak
"am I feeling dizzy so, body is so fragile.",Body feels weak
"i am dizzy feeling so, body is so fragile.",Body feels weak
"i am feeling dizzy so, is body so fragile.",Body feels weak
Is there a sharp pain my in whenever ear do I this.,Ear ache
There a is sharp pain in my ear whenever I do. this,Ear ache
Is there a sharp in pain my ear I whenever do. this,Ear ache
There is a pain sharp in whenever my ear do I this.,Ear ache
"When walk I a up flight of stairs, right my knee hurts.",Knee pain
"I up when walk a flight stairs of, my knee right hurts.",Knee pain
"I when up walk a of flight, stairs my right hurts knee.",Knee pain
"I when walk a up flight of stairs, right my hurts. knee",Knee pain
was I travelling by ship i feel and dizzy.,Feeling dizzy
i travelling was by ship and i dizzy. feel,Feeling dizzy
was I travelling ship by and i dizzy feel.,Feeling dizzy
was I travelling by ship and dizzy i feel.,Feeling dizzy
I a feel great pain shoulder in when my try i to lift something heavy,Shoulder pain
I a feel in great pain my shoulder when i try to lift something heavy,Shoulder pain
I feel a pain great my in when shoulder i lift try to something heavy,Shoulder pain
Feel a I great pain in shoulder my when i try to heavy lift something,Shoulder pain
I do not know I why feel cold,Feeling cold
I know do not why feel I cold,Feeling cold
I do not know I why feel cold,Feeling cold
Do I not why I know feel cold,Feeling cold
inability stiffness to right look or except left moving by the whole body,Neck pain
inability to stiffness look right or left moving except by the whole body,Neck pain
stiffness to inability look right or except left moving the by whole body,Neck pain
stiffness inability to look or right left except by moving whole the body,Neck pain
Every I time comb my hair so there are many hair in my comb.,Hair falling out
I time every comb my hair there so are many hair in comb my.,Hair falling out
Every time I comb hair there my so many hair are in my comb.,Hair falling out
Every time comb I hair my there are hair so many in comb my.,Hair falling out
I have great a stomach ache and can i ' eat t any thing,Stomach ache
I have great a ache stomach and i t can ' eat thing any,Stomach ache
I have great a stomach ache and i can t eat ' any thing,Stomach ache
Have I great stomach a ache and can i ' t any eat thing,Stomach ache
I cannot breathe of because this dull below ache my left shoulder.,Heart hurts
Breathe I because cannot of this dull ache below left my shoulder.,Heart hurts
I breathe cannot because of dull this below ache left my shoulder.,Heart hurts
I breathe cannot because this of ache dull below my left. shoulder,Heart hurts
I a have dull ache in stomach my. It gets worse after eat I.,Internal pain
I have a dull ache my in stomach. It worse after gets I eat.,Internal pain
Have I a ache dull in stomach my. gets It worse after eat I.,Internal pain
I have a dull in ache stomach my. It worse gets after I eat.,Internal pain
I have shooting up and pains down my. back,Back pain
I have shooting pains up and down back my.,Back pain
I have shooting pains up and down back my.,Back pain
I have pains shooting and up down back my.,Back pain
Is my hair falling in out bunches.,Hair falling out
Is my hair falling out bunches in.,Hair falling out
My hair is out falling in bunches.,Hair falling out
Hair my is in falling out bunches.,Hair falling out
I have that a cut is and red swollen.,Infected wound
I have a cut that is and red swollen.,Infected wound
I a have that is cut red and swollen.,Infected wound
I have a cut that red is and swollen.,Infected wound
I feel head ache,Head ache
i feel head ache,Head ache
I feel head ache,Head ache
feel I ache head,Head ache
I weak feel very in body my,Body feels weak
I very feel weak my body in,Body feels weak
I feel weak very in my body,Body feels weak
Very I feel weak in body my,Body feels weak
I difficulty have in in breathing places crowded.,Hard to breath
I difficulty have in in crowded breathing places.,Hard to breath
I difficulty in breathing have in crowded places.,Hard to breath
Difficulty I have in breathing in places crowded.,Hard to breath
i have migrain a and panadol i took but it  doesnâ  Ã ¯ t help,Head ache
i have a migrain and i but took panadol doesnâ it   Ã help ¯ t,Head ache
have I a migrain and i took panadol but doesnâ it  Ã ¯  t help,Head ache
i a have and i took migrain but panadol doesnâ it   Ã ¯ t help,Head ache
My kee is swallowing which i indicates have wound infected an,Infected wound
My is which kee swallowing indicates i an have infected wound,Infected wound
My swallowing kee is which indicates have i infected an wound,Infected wound
My kee swallowing is which indicates have i infected wound an,Infected wound
Feel I crushed emotionally,Emotional pain
Emotionally I feel crushed,Emotional pain
Feel I crushed emotionally,Emotional pain
Feel emotionally I crushed,Emotional pain
Have I a my throbbing in joints,Joint pain
Have I a throbbing in my joints,Joint pain
Have I a throbbing in my joints,Joint pain
Have I a throbbing in my joints,Joint pain
I don ' have t full of motion with range my arms,Shoulder pain
I don ' t have range full of motion my with arms,Shoulder pain
I don t ' range have of full motion with my arms,Shoulder pain
Don I ' have t full range of with motion arms my,Shoulder pain
I a get pain knee when I walk lot a,Knee pain
Get I a knee pain I when walk lot a,Knee pain
I get knee a pain I when a walk lot,Knee pain
Get a I pain knee when I walk a lot,Knee pain
severe pain in the left upper side chest of may and pain to have back,Heart hurts
pain severe in upper left the side of chest and may have pain to back,Heart hurts
severe pain in the upper left side of have chest and pain to may back,Heart hurts
pain severe in the left side upper of chest and may have pain to back,Heart hurts
I to love but garden get I a terrible twinge in lower my back when lean I. over,Back pain
I love garden to but a I terrible get twinge my in lower back when I over lean.,Back pain
Love I to but garden I get terrible a twinge in my back lower when lean I. over,Back pain
I love to garden but a get I terrible twinge my lower in back I when lean over.,Back pain
I had accident an and wound my was when open I to hospital arrived,Open wound
Had accident I an and my wound open was I when arrived to hospital,Open wound
I had an accident was and my wound open arrived when I to hospital,Open wound
I had an and accident my wound open was I when arrived to hospital,Open wound
I very feel hard breathe to,Hard to breath
I feel hard to very breathe,Hard to breath
I very feel hard breathe to,Hard to breath
I feel very breathe hard to,Hard to breath
I feel a sensation burning in guts my about 2 hours each after meal.,Stomach ache
I a feel burning sensation my guts in 2 hours about after each meal.,Stomach ache
I feel a in burning sensation guts my about 2 hours after each meal.,Stomach ache
Feel I a burning sensation in about my guts 2 hours after each meal.,Stomach ache
"Sometimes when it is cold outside, my face, hurts pimples especially around the that are ready to. pop",Acne
"Sometimes it when is cold outside, hurts my face, especially around the pimples that are to pop ready.",Acne
"Sometimes when it cold outside is, my face, hurts around especially the pimples that ready are. to pop",Acne
"Sometimes when it is cold outside, face my hurts, especially the pimples that around ready are to pop.",Acne
I can ' stand t or up down sit I a have in pain my back annoys that me,Back pain
Can I ' t stand up or sit down I have a my in pain back that annoys me,Back pain
I can t ' stand or up sit down have I pain a in my back that annoys me,Back pain
I can ' t stand up sit or down have I a in pain back my me that annoys,Back pain
"Move when I my on shoulder, pain shoots my down arm",Shoulder pain
"When I move on my shoulder, pain shoots down my arm",Shoulder pain
"When I my move on shoulder pain, shoots down arm my",Shoulder pain
"When I move on my shoulder, down pain shoots my arm",Shoulder pain
My body entire freezing is.,Feeling cold
Entire my is body freezing.,Feeling cold
My entire is body. freezing,Feeling cold
Entire my body freezing is.,Feeling cold
I and made lots of lots analysis to the know main reason my for stomach ache,Stomach ache
Lots I made and lots of analysis to know the main for reason my stomach ache,Stomach ache
I made lots and lots of know analysis to the reason main for my stomach ache,Stomach ache
Lots I made lots and analysis to of know the main reason for my stomach ache,Stomach ache
Think when I of my parents feel I pain,Emotional pain
I when think of my parents I feel pain,Emotional pain
I when think of my feel parents I pain,Emotional pain
I when my think of parents I feel pain,Emotional pain
I had a the last cold I time travelled plane by and have I still discomfort a in my ears.,Ear ache
I had a the cold last I time travelled plane by I still and have discomfort a my in ears.,Ear ache
Had I cold a last time I the by travelled plane and I still have a in discomfort my ears.,Ear ache
Had I a cold last the time I travelled plane by and I have still discomfort a ears in my.,Ear ache
Is my skin itching.,Skin issue
Skin my itching is.,Skin issue
Skin is my itching.,Skin issue
My is skin. itching,Skin issue
Neck my is annoying I me ' can sleep t bacause of it,Neck pain
Neck my is me annoying can ' I t sleep bacause of it,Neck pain
Neck my annoying is me I can ' bacause t sleep of it,Neck pain
My is neck annoying me I can ' t bacause sleep of it,Neck pain
Have I a pain in my joint,Joint pain
Have I a pain joint in my,Joint pain
Have I pain a my in joint,Joint pain
Have I a pain in my joint,Joint pain
"When go I to stand, my swirling head starts",Feeling dizzy
"When I go stand to my, head swirling starts",Feeling dizzy
"I when go to stand, head my swirling starts",Feeling dizzy
"When go I to, stand head my starts swirling",Feeling dizzy
I acne have in face and my in other problema my derma like itching,Skin issue
I have acne in and my face problema other my derma in like itching,Skin issue
I have acne my in face and problema in other derma my itching like,Skin issue
I have acne my in and face problema other my in like derma itching,Skin issue
Do I feel not better in muscles my,Muscle pain
Do I better not feel in my muscles,Muscle pain
Do I not feel better my muscles in,Muscle pain
Do I not feel in better muscles my,Muscle pain
Heavy breath with fatigue,Emotional pain
breath heavy fatigue with,Emotional pain
heavy fatigue breath with,Emotional pain
breath with heavy fatigue,Emotional pain
I had alot exercise of i yesterday so feel sharp pains muscle,Muscle pain
I had of exercise alot yesterday so i feel sharp muscle pains,Muscle pain
Had I of alot exercise yesterday so feel sharp i muscle pains,Muscle pain
I had of alot so exercise yesterday feel i sharp muscle pains,Muscle pain
My knees swell right below knee the and cap when hurt I put them weight. on,Knee pain
My swell knees below right the cap knee when and hurt I weight put on them.,Knee pain
My knees swell below right the cap knee and hurt I when put on weight them.,Knee pain
My knees right below swell the cap knee and when hurt I weight put on. them,Knee pain
my temperature dropped my and synosed body get,Feeling cold
dropped my temperature and my get body synosed,Feeling cold
my temperature dropped body my and get synosed,Feeling cold
temperature my dropped my and get body synosed,Feeling cold
I when get up see i my vague skin,Skin issue
Get when i i up see my skin vague,Skin issue
When i get up i see my vague skin,Skin issue
When get i up i my skin see vague,Skin issue
When tried I to take if care my I hair found is that it falling out,Hair falling out
When tried I take to if care my I hair found that it is out falling,Hair falling out
I when to tried take my care if hair I that found it is falling out,Hair falling out
When I tried to take care hair if my found I that is falling it out,Hair falling out
Noticed I an important decrease my in vision when try I look to at things up close.,Blurry vision
Noticed I an decrease important in vision my when try I to things look at up close.,Blurry vision
I noticed an decrease important in vision my when I try to look at up things. close,Blurry vision
I an noticed important decrease in vision my when I to try at look things up close.,Blurry vision
i was watching and suddenly have tv blurry vision,Blurry vision
was I watching and tv suddenly have vision blurry,Blurry vision
i tv was watching and suddenly blurry have vision,Blurry vision
was I watching suddenly tv and have blurry vision,Blurry vision
I feel pain muscle every time I an make extra effort.,Muscle pain
I feel pain muscle time every I make an extra effort.,Muscle pain
I feel pain muscle time every make I an effort extra.,Muscle pain
Feel I pain muscle every I time make extra an effort.,Muscle pain
"I started taking swimming and lessons guess I I too swallowed much water through nose my, this sinusitis because me is killing now.",Injury from sports
"Started I taking swimming and lessons I guess I swallowed too much water nose through my, because this sinusitis is me now killing.",Injury from sports
"Started I taking lessons swimming and I guess I swallowed too much water my nose through, because this is killing sinusitis me now.",Injury from sports
"I taking started lessons swimming and I guess I swallowed much too water nose through my, this because is sinusitis killing me. now",Injury from sports
Feel I when pain i of think her,Emotional pain
I pain feel when think i her of,Emotional pain
Feel I pain when i think of her,Emotional pain
I pain feel when think i her of,Emotional pain
I ' ve very always been active but now just don I ' t have the strength or to energy go even for short a walk.,Body feels weak
' I always ve been active but very now I just don t ' the strength have or energy to go even for short a walk.,Body feels weak
' I ve been always very active now but just I don ' have strength t the or energy to go for a even short. walk,Body feels weak
I ve always ' been very now active but I just don ' have the t strength or energy to go even for a short walk.,Body feels weak
Have I internal an pain I describe cannot,Internal pain
Have I an pain internal I describe cannot,Internal pain
Have I an internal pain cannot describe I,Internal pain
I have an internal pain cannot I describe,Internal pain
In the my morning respiration is loud.,Hard to breath
Morning in the my is respiration loud.,Hard to breath
In morning the my is loud respiration.,Hard to breath
The in morning my respiration is loud.,Hard to breath
along cramps whole the abdomen,Stomach ache
along cramps whole the abdomen,Stomach ache
Cramps along the whole abdomen,Stomach ache
cramps the along abdomen whole,Stomach ache
My sore looks like its not healing. well,Infected wound
Sore like my looks its not healing well.,Infected wound
My sore looks its not like healing. well,Infected wound
My sore its looks like not well healing.,Infected wound
I feel cold when the comes night,Feeling cold
I feel cold when comes night the,Feeling cold
Feel I when the cold night comes,Feeling cold
I cold feel the when comes night,Feeling cold
I feel shoulder at intervals pain time of.,Shoulder pain
Feel I shoulder pain at intervals of time.,Shoulder pain
I shoulder feel at pain intervals time of.,Shoulder pain
Feel I shoulder pain intervals of at time.,Shoulder pain
My muscle in my burns shoulder when I move arm my.,Muscle pain
My in muscle shoulder my burns when I move my arm.,Muscle pain
Muscle my in my shoulder burns I when move my arm.,Muscle pain
My muscle in my when shoulder burns I move. my arm,Muscle pain
Itches it inside my. ears,Ear ache
Itches it my inside ears.,Ear ache
Itches it inside ears my.,Ear ache
It inside itches ears my.,Ear ache
"My face broken has out painful in red spots and lumps that, no matter I how much my clean don face ' t to seem be away going.",Acne
"Face my broken has out in painful red spots and lumps, how that no matter I much my clean face don ' to t seem be going away.",Acne
"My has face out broken in painful red spots and lumps, that no matter much how I clean my don face ' t seem be away to going.",Acne
"My has face broken in out red painful spots and lumps, no matter that how much I clean face my don ' t seem be going to. away",Acne
Get clusters I of and whiteheads blackheads on my. back,Acne
I get clusters whiteheads and of my blackheads on back.,Acne
I get clusters of whiteheads blackheads on and back. my,Acne
I get clusters of whiteheads and on blackheads back my.,Acne
I feel I like went to an acupuncture ' practice s and 100 needles had in my shoulder,Shoulder pain
Like I feel I went to an ' s acupuncture practice and 100 had needles my in shoulder,Shoulder pain
I like feel went I to acupuncture ' an and s practice had 100 needles in my shoulder,Shoulder pain
I feel I like to went acupuncture an ' s practice and had 100 in needles my shoulder,Shoulder pain
"My hair is falling without reason a, can I see a of lot on my hair desk working.",Hair falling out
"Hair is my falling a without reason, can see I a lot of on hair my working desk.",Hair falling out
"My hair falling is without a reason, can see I a lot hair of on my desk. working",Hair falling out
"My is hair falling without a reason, I see can a of lot on hair my working desk.",Hair falling out
Hearing any sounds loud makes aches my ear,Ear ache
Any hearing loud sounds my makes aches ear,Ear ache
Hearing any loud sounds makes ear my aches,Ear ache
Any loud hearing sounds makes my aches ear,Ear ache
Acne I have all my over face,Acne
I acne have my all over face,Acne
Have I acne over all face my,Acne
I acne have all my face over,Acne
I feel a great amount of on pressure sides the neck of my,Shoulder pain
Feel I a great amount of pressure on sides the of my neck,Shoulder pain
I a great feel of amount pressure on the of sides my neck,Shoulder pain
I great feel a amount of the pressure on sides of my neck,Shoulder pain
I think sprained I my ankle hurts it really.,Injury from sports
I sprained think I my ankle it really. hurts,Injury from sports
I think sprained I my ankle really it. hurts,Injury from sports
I think sprained I my ankle it really hurts.,Injury from sports
is my cut or just healing infected?,Infected wound
my is cut or infected healing just?,Infected wound
my is infected or cut just healing?,Infected wound
Cut is my or infected just healing?,Infected wound
